1.165 , 429.0
1.167 , 435.0
1.17 , 441.0
1.173 , 423.0
1.175 , 448.0
1.178 , 451.0
1.18 , 452.0
1.183 , 456.0
1.185 , 428.0
1.188 , 465.0
1.191 , 470.0
1.193 , 472.0
1.196 , 473.0
1.199 , 474.0
1.201 , 476.0
1.204 , 457.0
1.206 , 481.0
1.209 , 485.0
1.211 , 491.0
1.214 , 498.0
1.217 , 477.0
1.219 , 508.0
1.222 , 511.0
1.224 , 512.0
1.227 , 516.0
1.229 , 496.0
1.232 , 523.0
1.235 , 504.0
1.237 , 535.0
1.24 , 540.0
1.242 , 543.0
1.245 , 545.0
1.248 , 531.0
1.25 , 543.0
1.253 , 542.0
1.255 , 541.0
1.258 , 542.0
1.261 , 515.0
1.263 , 543.0
1.266 , 543.0
1.268 , 542.0
1.271 , 539.0
1.273 , 524.0
1.276 , 531.0
1.279 , 529.0
1.281 , 527.0
1.284 , 527.0
1.287 , 528.0
1.289 , 528.0
1.292 , 527.0
1.294 , 528.0
1.297 , 525.0
1.299 , 522.0
1.302 , 520.0
1.305 , 501.0
1.307 , 517.0
1.31 , 518.0
1.312 , 517.0
1.315 , 516.0
1.318 , 514.0
1.32 , 510.0
1.323 , 501.0
1.325 , 499.0
1.328 , 492.0
1.33 , 488.0
1.333 , 482.0
1.336 , 479.0
1.338 , 476.0
1.341 , 469.0
1.343 , 465.0
1.346 , 457.0
1.348 , 456.0
1.351 , 442.0
1.354 , 435.0
1.356 , 431.0
1.359 , 426.0
1.361 , 424.0
1.364 , 420.0
1.367 , 432.0
1.369 , 411.0
1.372 , 405.0
1.374 , 400.0
1.377 , 395.0
1.38 , 393.0
1.382 , 387.0
1.385 , 385.0
1.387 , 382.0
1.39 , 378.0
1.393 , 383.0
1.395 , 366.0
1.398 , 357.0
1.4 , 350.0
1.403 , 342.0
1.406 , 337.0
1.408 , 330.0
1.411 , 351.0
1.413 , 320.0
1.416 , 313.0
1.418 , 308.0
1.421 , 298.0
1.424 , 301.0
1.426 , 283.0
1.429 , 276.0
1.431 , 273.0
1.434 , 269.0
1.437 , 285.0
1.439 , 263.0
1.442 , 258.0
1.444 , 254.0
1.447 , 249.0
1.449 , 274.0
1.452 , 241.0
1.455 , 256.0
1.457 , 236.0
1.46 , 233.0
1.462 , 231.0
1.465 , 227.0
1.468 , 237.0
1.47 , 216.0
1.473 , 210.0
1.475 , 205.0
1.478 , 200.0
1.481 , 216.0
1.483 , 192.0
1.486 , 189.0
1.488 , 186.0
1.491 , 182.0
1.494 , 180.0
1.496 , 174.0
1.499 , 184.0
1.501 , 168.0
1.504 , 168.0
1.506 , 167.0
1.509 , 168.0
1.512 , 183.0
1.514 , 167.0
1.517 , 165.0
1.519 , 164.0
1.522 , 161.0
1.525 , 174.0
1.527 , 160.0
1.53 , 160.0
1.532 , 161.0
1.535 , 161.0
1.538 , 161.0
1.54 , 162.0
1.543 , 156.0
1.545 , 158.0
1.548 , 156.0
1.55 , 156.0
1.553 , 157.0
1.555 , 166.0
1.558 , 160.0
1.561 , 163.0
1.563 , 164.0
1.566 , 164.0
1.568 , 164.0
1.571 , 165.0
1.574 , 176.0
1.576 , 168.0
1.579 , 174.0
1.581 , 177.0
1.584 , 182.0
1.586 , 176.0
1.589 , 189.0
1.592 , 192.0
1.594 , 193.0
1.597 , 197.0
1.599 , 196.0
1.602 , 205.0
1.605 , 204.0
1.607 , 215.0
1.61 , 219.0
1.612 , 223.0
1.615 , 226.0
1.618 , 221.0
1.62 , 231.0
1.623 , 235.0
1.625 , 238.0
1.628 , 243.0
1.63 , 238.0
1.633 , 254.0
1.636 , 258.0
1.638 , 261.0
1.641 , 266.0
1.644 , 269.0
1.646 , 273.0
1.649 , 275.0
1.651 , 285.0
1.654 , 293.0
1.656 , 299.0
1.659 , 307.0
1.661 , 284.0
1.664 , 318.0
1.667 , 323.0
1.669 , 327.0
1.672 , 333.0
1.675 , 337.0
1.677 , 346.0
1.68 , 354.0
1.682 , 359.0
1.685 , 367.0
1.688 , 370.0
1.69 , 374.0
1.693 , 363.0
1.695 , 381.0
1.698 , 386.0
1.7 , 390.0
1.703 , 397.0
